ID_univerzita,Nazev_univerzity,Zkratka_univerzity
1,Akademie múzických umění v Praze ,AMU
2,Akademie výtvarných umění v Praze ,AVU
3,Česká zemědělská univerzita v Praze ,ČZU
4,České vysoké učení technické v Praze ,ČVUT
5,Janáčkova akademie múzických umění ,JAMU
6,Jihočeská univerzita v Českých Budějovicích ,JU
7,Masarykova univerzita ,MU
8,Mendelova univerzita v Brně ,MENDELU
9,Ostravská univerzita ,OU
10,Slezská univerzita v Opavě ,SU
11,Technická univerzita v Liberci ,TUL
12,Univerzita Hradec Králové ,UHK
13,Univerzita Jana Evangelisty Purkyně v Ústí nad Labem ,UJEP
14,Univerzita Karlova ,UK
15,Univerzita Palackého v Olomouci ,UP
16,Univerzita Pardubice ,UPCE
17,Univerzita Tomáše Bati ve Zlíně ,UTB
18,Veterinární univerzita Brno ,VETUNI
19,Vysoká škola báňská - Technická univerzita Ostrava ,VŠB-TUO
20,Vysoká škola ekonomická v Praze ,VŠE
21,Vysoká škola chemicko-technologická v Praze ,VŠCHT Praha
22,Vysoká škola polytechnická Jihlava ,VŠPJ či VŠP Jihlava
23,Vysoká škola technická a ekonomická v Českých Budějovicích ,VŠTE
24,Vysoká škola uměleckoprůmyslová v Praze ,UMPRUM
25,Vysoké učení technické v Brně ,VUT
26,Západočeská univerzita v Plzni ,ZČU
